DateTime,Voltage,Current,Power,KWh,Frequency,PF,Range
21-04-2021 18:21,239.9,0.19,29,0.28,50,0.64,-28
21-04-2021 18:21,240.1,0.19,28.3,0.28,50,0.63,-28
21-04-2021 18:21,240,0.2,32,0.28,50,0.66,-28
21-04-2021 18:21,240,0.2,31.3,0.28,50,0.65,-28
21-04-2021 18:21,240.1,0.19,28.8,0.28,50,0.63,-28
21-04-2021 18:21,239.8,0.25,42.7,0.28,50,0.7,-28
21-04-2021 18:21,239.5,0.22,35.4,0.28,50,0.66,-28
21-04-2021 18:21,239.6,0.2,30.7,0.28,50,0.65,-28
21-04-2021 18:21,239.2,0.21,32.9,0.28,50,0.65,-28
21-04-2021 18:21,239,0.19,29.9,0.28,50,0.64,-28
21-04-2021 18:21,238.7,0.21,33.9,0.28,50,0.66,-28
21-04-2021 18:21,238.9,0.25,42.9,0.28,50,0.71,-29
21-04-2021 18:21,238.8,0.19,28.1,0.28,50,0.63,-28
21-04-2021 18:21,238.9,0.2,31.6,0.28,50,0.65,-28
21-04-2021 18:21,239.2,0.18,27.4,0.28,50,0.63,-29
21-04-2021 18:21,239.2,0.19,29.4,0.28,50,0.65,-28
21-04-2021 18:22,239,0.18,26.3,0.28,50,0.62,-28
21-04-2021 18:22,238.9,0.19,28.1,0.28,50,0.64,-28
21-04-2021 18:22,239,0.32,57.5,0.28,50,0.76,-28
21-04-2021 18:22,239,0.31,56.8,0.28,50,0.76,-28
21-04-2021 18:22,239.2,0.21,32.5,0.28,50,0.66,-28
21-04-2021 18:22,239.1,0.25,41.9,0.28,50,0.7,-28
21-04-2021 18:22,239.3,0.32,59,0.28,50,0.77,-29
21-04-2021 18:22,239.5,0.39,77.8,0.28,50,0.83,-28
21-04-2021 18:22,239.7,0.21,34,0.28,50,0.67,-28
21-04-2021 18:22,239.3,0.27,49,0.28,50,0.75,-28
21-04-2021 18:22,239.3,0.22,36.1,0.28,50,0.7,-28
21-04-2021 18:22,239.3,0.19,29.6,0.28,50,0.64,-28
21-04-2021 18:22,239.3,0.24,39.3,0.28,50,0.68,-28
21-04-2021 18:22,240,0.25,41.3,0.28,49.9,0.69,-28
21-04-2021 18:22,241.5,0.35,66.4,0.28,49.9,0.79,-28
21-04-2021 18:22,242.4,0.35,66.4,0.28,50,0.79,-28
21-04-2021 18:22,242.7,0.3,54.7,0.28,50,0.74,-28
21-04-2021 18:22,242.3,0.22,36.2,0.28,49.9,0.68,-28
21-04-2021 18:22,242.3,0.23,37.7,0.28,49.9,0.68,-28
21-04-2021 18:23,242.5,0.23,36.8,0.28,50,0.67,-28
21-04-2021 18:23,242.7,0.24,42.4,0.28,50,0.72,-28
21-04-2021 18:23,242.8,0.23,39,0.28,50,0.69,-28
21-04-2021 18:23,243,0.22,34.3,0.28,49.9,0.65,-28
21-04-2021 18:23,242.8,0.29,51.7,0.28,49.9,0.73,-28
21-04-2021 18:23,242.7,0.25,43.2,0.28,49.9,0.71,-28
21-04-2021 18:23,242.7,0.22,35,0.28,49.9,0.66,-28
21-04-2021 18:23,242.8,0.25,41.4,0.28,49.9,0.7,-29
21-04-2021 18:23,242.6,0.35,65.5,0.28,49.9,0.78,-28
21-04-2021 18:23,242.8,0.34,64.4,0.28,50,0.77,-28
21-04-2021 18:23,243,0.25,44.8,0.28,49.9,0.72,-28
21-04-2021 18:23,242.9,0.24,41.3,0.28,49.9,0.7,-28
21-04-2021 18:23,243.3,0.23,38.3,0.28,50,0.68,-28
21-04-2021 18:23,243.2,0.25,43.4,0.28,49.9,0.71,-28
21-04-2021 18:23,242.9,0.22,34.9,0.28,49.9,0.67,-28
21-04-2021 18:23,243.2,0.19,30.1,0.28,49.9,0.64,-28
21-04-2021 18:23,243.5,0.2,32.4,0.28,50,0.65,-28
21-04-2021 18:23,243.6,0.2,31.3,0.28,49.9,0.64,-28
21-04-2021 18:23,243.5,0.18,28.1,0.28,49.9,0.64,-28
21-04-2021 18:24,242.6,0.19,28.4,0.28,49.9,0.63,-28
21-04-2021 18:24,242.5,0.18,28.3,0.28,50,0.63,-28
21-04-2021 18:24,242.6,0.18,27.2,0.28,49.9,0.63,-28
21-04-2021 18:24,242.4,0.18,27.7,0.28,49.9,0.63,-29
21-04-2021 18:24,242.3,0.18,26.8,0.28,49.9,0.62,-28
21-04-2021 18:24,242.4,0.19,28.3,0.28,49.9,0.62,-28
21-04-2021 18:24,242.2,0.22,35.2,0.28,49.9,0.67,-27
21-04-2021 18:24,242.2,0.26,44.8,0.28,49.9,0.71,-28
21-04-2021 18:24,242,0.32,58.9,0.28,49.9,0.76,-28
21-04-2021 18:24,242,0.27,46.8,0.28,49.9,0.72,-28
21-04-2021 18:24,242.1,0.22,35.7,0.28,49.9,0.67,-28
21-04-2021 18:24,242,0.22,36.2,0.28,49.9,0.67,-28
